G o. </w>	Va </w> ! </w>
I </w> fell. </w>	Je </w> suis </w> tombé. </w>
I </w> know. </w>	Je </w> sais. </w>
I </w> left. </w>	Je </w> suis </w> parti. </w>
I </w> left. </w>	Je </w> suis </w> partie. </w>
I </w> lost. </w>	J'ai </w> perdu. </w>
I'm </w> 19. </w>	J'ai </w> 19 </w> ans. </w>
I'm </w> OK. </w>	Je </w> vais </w> bien. </w>
I'm </w> OK. </w>	Ça </w> va. </w>
Lis ten. </w>	Écoutez </w> ! </w>
No </w> way! </w>	C'est </w> pas </w> possible </w> ! </w>
No </w> way! </w>	Im possible </w> ! </w>
No </w> way! </w>	En </w> aucun </w> cas. </w>
No </w> way! </w>	Sans </w> façons </w> ! </w>
No </w> way! </w>	C'est </w> hors </w> de </w> question </w> ! </w>
No </w> way! </w>	Il </w> n'en </w> est </w> pas </w> question </w> ! </w>
No </w> way! </w>	C'est </w> exclu </w> ! </w>
No </w> way! </w>	En </w> aucune </w> manière </w> ! </w>
No </w> way! </w>	Hors </w> de </w> question </w> ! </w>
Re ally? </w>	Vraiment </w> ? </w>
Re ally? </w>	Vrai </w> ? </w>
Re ally? </w>	Ah </w> bon </w> ? </w>
Thank s. </w>	Merci </w> ! </w>
We </w> try. </w>	On </w> essay e. </w>
We </w> won. </w>	Nous </w> avons </w> gagné. </w>
We </w> won. </w>	Nous </w> gagn âmes. </w>
We </w> won. </w>	Nous </w> l'avons </w> emporté. </w>
We </w> won. </w>	Nous </w> l'empor tâ mes. </w>
Ask </w> Tom. </w>	Demande </w> à </w> Tom. </w>
A w es ome ! </w>	F ant as tique </w> ! </w>
Be </w> calm. </w>	Sois </w> calme </w> ! </w>
Be </w> calm. </w>	Soyez </w> calme </w> ! </w>
Be </w> calm. </w>	Soyez </w> calmes </w> ! </w>
Be </w> cool. </w>	Sois </w> détendu </w> ! </w>
Be </w> fair. </w>	Sois </w> juste </w> ! </w>
Be </w> fair. </w>	Soyez </w> juste </w> ! </w>
Be </w> fair. </w>	Soyez </w> just es </w> ! </w>
Be </w> fair. </w>	Sois </w> équit able </w> ! </w>
Be </w> fair. </w>	Soyez </w> équit able </w> ! </w>
Be </w> fair. </w>	Soyez </w> équit ables </w> ! </w>
Be </w> kind. </w>	Sois </w> gentil. </w>
Be </w> nice. </w>	Sois </w> gentil </w> ! </w>
Be </w> nice. </w>	Sois </w> gentille </w> ! </w>
Be </w> nice. </w>	Soyez </w> gentil </w> ! </w>
Be </w> nice. </w>	Soyez </w> gentille </w> ! </w>
Be </w> nice. </w>	Soyez </w> gentils </w> ! </w>
Be </w> nice. </w>	Soyez </w> gentilles </w> ! </w>
Beat </w> it. </w>	Dégage </w> ! </w>
Call </w> me. </w>	Appelle-moi </w> ! </w>
Call </w> me. </w>	Appelle z-moi </w> ! </w>
Call </w> us. </w>	Appelle -nous </w> ! </w>
Call </w> us. </w>	Appelez -nous </w> ! </w>
Come </w> in. </w>	Entrez </w> ! </w>
Come </w> in. </w>	Entre. </w>
Come </w> in. </w>	Entre </w> ! </w>
Come </w> in. </w>	Entrez </w> ! </w>
Come </w> on! </w>	Allez </w> ! </w>
Come </w> on. </w>	Allez </w> ! </w>
Come </w> on. </w>	Viens </w> ! </w>
Come </w> on. </w>	Venez </w> ! </w>
Drop </w> it! </w>	Laisse </w> tomber </w> ! </w>
Drop </w> it! </w>	Laissez </w> tomber </w> ! </w>
Drop </w> it! </w>	Laisse-le </w> tomber </w> ! </w>
Drop </w> it! </w>	Laissez-le </w> tomber </w> ! </w>
Get </w> out! </w>	Sortez </w> ! </w>
Get </w> out! </w>	Sors </w> ! </w>
Get </w> out! </w>	Sortez </w> ! </w>
Get </w> out. </w>	Sor s. </w>
Get </w> out. </w>	Casse -toi. </w>
Go </w> away! </w>	Dégage </w> ! </w>
Go </w> away! </w>	Pars </w> ! </w>
Go </w> away. </w>	Va </w> te </w> faire </w> foutre </w> ! </w>
Go </w> away. </w>	Pars </w> ! </w>
Go </w> away. </w>	Dégage </w> ! </w>
Go </w> away. </w>	F ous </w> le </w> camp </w> ! </w>
Go </w> away. </w>	Pars </w> d'ici. </w>
Go </w> away. </w>	Va </w> t'en </w> ! </w>
Go </w> away. </w>	Dis parais </w> ! </w>
Go </w> away. </w>	Allez-vous </w> en </w> ! </w>
Go </w> home. </w>	Rentrez </w> à </w> la </w> maison. </w>
Go </w> home. </w>	Rentre </w> à </w> la </w> maison. </w>
Go </w> home. </w>	Rentre </w> chez </w> toi. </w>
Go </w> home. </w>	Rentrez </w> chez </w> vous. </w>
Go </w> slow. </w>	Va </w> doucement </w> ! </w>
Go </w> slow. </w>	Allez </w> doucement </w> ! </w>
Goodby e ! </w>	À </w> la </w> re voy ure. </w>
Hang </w> on! </w>	Attends </w> un </w> peu </w> ! </w>
Hang </w> on! </w>	Attendez </w> un </w> peu </w> ! </w>
Hang </w> on. </w>	Tiens </w> bon </w> ! </w>
Hang </w> on. </w>	Tenez </w> bon </w> ! </w>
He </w> quit. </w>	Il </w> laissa </w> tomber. </w>
He </w> quit. </w>	Il </w> a </w> laissé </w> tomber. </w>
He </w> run s. </w>	Il </w> court. </w>
Help </w> me! </w>	Aide-moi </w> ! </w>
Help </w> me. </w>	Aide -moi. </w>
Help </w> me. </w>	Aidez-moi . </w>
Help </w> us. </w>	Aidez -nous </w> ! </w>
Help </w> us. </w>	Aide -nous </w> ! </w>
Hold </w> it! </w>	Ne </w> bouge </w> plus </w> ! </w>
Hold </w> on. </w>	Ne </w> quittez </w> pas. </w>
H ug </w> Tom. </w>	Fais </w> un </w> câlin </w> à </w> Tom. </w>
I </w> agree. </w>	Je </w> suis </w> du </w> même </w> avis. </w>
I </w> drive. </w>	Je </w> conduis. </w>
I </w> tried. </w>	J'essay ai. </w>
I </w> tried. </w>	J'ai </w> essayé. </w>
I </w> tried. </w>	J'ai </w> tenté. </w>
I'll </w> go. </w>	J' irai. </w>
I'm </w> Tom. </w>	Je </w> suis </w> Tom. </w>
I'm </w> fat. </w>	Je </w> suis </w> gras. </w>
I'm </w> fat. </w>	Je </w> suis </w> gros. </w>
I'm </w> fit. </w>	Je </w> suis </w> en </w> forme. </w>
I'm </w> hit ! </w>	Je </w> suis </w> touché </w> ! </w>
I'm </w> hit ! </w>	Je </w> suis </w> touchée </w> ! </w>
I'm </w> ill. </w>	Je </w> suis </w> malade. </w>
I'm </w> sad. </w>	Je </w> suis </w> triste. </w>
I'm </w> shy. </w>	Je </w> suis </w> timide. </w>
I'm </w> wet. </w>	Je </w> suis </w> mouillé. </w>
I'm </w> wet. </w>	Je </w> suis </w> mouillée. </w>
It's </w> me! </w>	C'est </w> bi bi </w> ! </w>
J oin </w> us. </w>	Joignez-vous . </w>
J oin </w> us. </w>	Joignez-vous </w> à </w> nous. </w>
Keep </w> it. </w>	Garde-le </w> ! </w>
Keep </w> it. </w>	Gardez -le </w> ! </w>
Kis s </w> me. </w>	Emb rasse -moi. </w>
Kis s </w> me. </w>	Emb r assez -moi. </w>
M e, </w> too. </w>	Moi </w> aussi. </w>
Open </w> up. </w>	Ouvre -moi </w> ! </w>
Open </w> up. </w>	Ou vre. </w>
Per fe ct ! </w>	Par fait </w> ! </w>
See </w> you. </w>	À </w> plus. </w>
Show </w> me. </w>	Montre-moi </w> ! </w>
Show </w> me. </w>	Montrez-moi </w> ! </w>
Shut </w> up! </w>	T aise z-vous </w> ! </w>
Shut </w> up! </w>	Ferme-la </w> ! </w>
Shut </w> up! </w>	Tais-toi </w> ! </w>
Shut </w> up! </w>	Ferme-la </w> ! </w>
Shut </w> up! </w>	La </w> ferme </w> ! </w>
So </w> long. </w>	À </w> plus </w> tard </w> ! </w>
Take </w> it. </w>	Prends -le </w> ! </w>
Take </w> it. </w>	Prenez -le </w> ! </w>
Tell </w> me. </w>	Dis-moi </w> ! </w>
Tell </w> me. </w>	Dites-moi </w> ! </w>
Tom </w> won. </w>	Tom </w> a </w> gagné. </w>
Wake </w> up! </w>	Réveille -toi </w> ! </w>
Wake </w> up! </w>	Réveille -toi </w> ! </w>
Wake </w> up! </w>	Réveille z-vous </w> ! </w>
Wake </w> up. </w>	Réveille -toi </w> ! </w>
Wake </w> up. </w>	Réveille z-vous </w> ! </w>
Wash </w> up. </w>	Lave-toi </w> ! </w>
Wash </w> up. </w>	Lavez-vous </w> ! </w>
We </w> know. </w>	Nous </w> sav ons. </w>
We </w> lost. </w>	Nous </w> per dî mes. </w>
We </w> lost. </w>	Nous </w> avons </w> perdu. </w>
We </w> lost. </w>	Nous </w> fûmes </w> battus. </w>
We </w> lost. </w>	Nous </w> fûmes </w> battu es. </w>
We </w> lost. </w>	Nous </w> fûmes </w> dé faits. </w>
We </w> lost. </w>	Nous </w> fûmes </w> dé faites. </w>
We </w> lost. </w>	Nous </w> avons </w> été </w> dé faits. </w>
We </w> lost. </w>	Nous </w> avons </w> été </w> dé faites. </w>
We </w> lost. </w>	Nous </w> avons </w> été </w> battus. </w>
We </w> lost. </w>	Nous </w> avons </w> été </w> battu es. </w>
Wel come. </w>	Bienvenue </w> ! </w>
Who </w> won? </w>	Qui </w> a </w> gagné </w> ? </w>
Who </w> won? </w>	Qui </w> l'a </w> emporté </w> ? </w>
You </w> run. </w>	Tu </w> cours. </w>
Am </w> I </w> fat? </w>	Suis-je </w> gros </w> ? </w>
Am </w> I </w> fat? </w>	Suis-je </w> grosse </w> ? </w>
Ask </w> them. </w>	Demande -leur. </w>
Ask </w> them. </w>	Demandez -leur. </w>
Back </w> off! </w>	Recule </w> ! </w>
Back </w> off! </w>	Reculez . </w>
Back </w> off. </w>	Recule </w> ! </w>
Back </w> off. </w>	Reculez . </w>
Back </w> off. </w>	Retire -toi </w> ! </w>
Back </w> off. </w>	Reti rez-vous . </w>
Be </w> a </w> man. </w>	Sois </w> un </w> homme </w> ! </w>
Be </w> a </w> man. </w>	Soyez </w> un </w> homme </w> ! </w>
Be </w> still. </w>	Sois </w> calme </w> ! </w>
Be </w> still. </w>	Soyez </w> calme </w> ! </w>
Be </w> still. </w>	Soyez </w> calmes </w> ! </w>
B eats </w> me. </w>	Aucune </w> idée. </w>
B eats </w> me. </w>	J'en </w> sais </w> foutre </w> rien. </w>
Call </w> Tom. </w>	Appelle </w> Tom. </w>
Call </w> Tom. </w>	Appelez </w> Tom. </w>
Che er </w> up! </w>	C our age </w> ! </w>
Cool </w> off! </w>	Détends-toi </w> ! </w>
Cu ff </w> him. </w>	Men ot tez -le. </w>
Drive </w> on. </w>	Avance </w> ! </w>
Drive </w> on. </w>	Avancez </w> ! </w>
Drive </w> on. </w>	Continue </w> à </w> rouler </w> ! </w>
Drive </w> on. </w>	Continuez </w> à </w> rouler </w> ! </w>
Find </w> Tom. </w>	Trouve </w> Tom. </w>
Find </w> Tom. </w>	Trouvez </w> Tom. </w>
Fi x </w> this. </w>	Ré pare z </w> ceci. </w>
Fi x </w> this. </w>	Ré pare </w> ça. </w>
Get </w> down! </w>	Lâche -toi </w> ! </w>
Get </w> down. </w>	Descends </w> ! </w>
Get </w> down. </w>	Descendez </w> ! </w>
Get </w> down. </w>	Lâche -toi </w> ! </w>
Get </w> down. </w>	Lâche z-vous </w> ! </w>
Get </w> lost ! </w>	Va </w> voir </w> ailleurs </w> si </w> j'y </w> suis </w> ! </w>
Get </w> lost ! </w>	Dégage </w> ! </w>
Get </w> lost ! </w>	Va </w> au </w> diable </w> ! </w>
Get </w> real ! </w>	Sois </w> réaliste </w> ! </w>
Go </w> ahead. </w>	Vas -y. </w>
Go </w> ahead. </w>	Pour suis </w> ! </w>
Go </w> ahead. </w>	Passe </w> devant </w> ! </w>
Go </w> ahead. </w>	Vas-y </w> ! </w>
Good </w> job ! </w>	Bien </w> joué </w> ! </w>
Good </w> job ! </w>	Bon </w> boulot </w> ! </w>
Good </w> job ! </w>	Beau </w> travail </w> ! </w>
Grab </w> him. </w>	Attrape -le. </w>
Grab </w> him. </w>	Attrapez -le. </w>
Have </w> fun. </w>	Amuse-toi </w> bien </w> ! </w>
Have </w> fun. </w>	Amusez-vous </w> bien </w> ! </w>
He </w> tri es. </w>	Il </w> essay e. </w>
He's </w> wet. </w>	Il </w> est </w> mouillé. </w>
Help </w> Tom. </w>	Aide </w> Tom. </w>
Help </w> Tom. </w>	Aidez </w> Tom. </w>
Hi , </w> guys. </w>	Salut , </w> les </w> mecs </w> ! </w>
How </w> cute ! </w>	Comme </w> c'est </w> mignon </w> ! </w>
How </w> deep? </w>	Quelle </w> profondeur </w> ? </w>
How </w> nice! </w>	Comme </w> c'est </w> chouette </w> ! </w>
How </w> nice! </w>	Comme </w> c'est </w> gentil </w> ! </w>
How </w> nice! </w>	C'est </w> du </w> joli </w> ! </w>
How </w> nice! </w>	Comme </w> c'est </w> agréable </w> ! </w>
Hu mor </w> me. </w>	Fais-moi </w> rire. </w>
Hurry </w> up. </w>	Dépêche -toi. </w>
Hurry </w> up. </w>	G rouille </w> ! </w>
Hurry </w> up. </w>	Pres sez-vous </w> ! </w>
Hurry </w> up. </w>	Fi ça </w> ! </w>
I </w> am </w> fat. </w>	Je </w> suis </w> gras. </w>
I </w> did </w> OK. </w>	Je </w> m'en </w> suis </w> bien </w> sorti. </w>
I </w> did </w> OK. </w>	Je </w> m'en </w> suis </w> bien </w> sortie. </w>
I </w> did </w> it. </w>	Je </w> l'ai </w> fait. </w>
I </w> did </w> it. </w>	C'est </w> moi </w> qui </w> l'ai </w> fait. </w>
I </w> failed. </w>	J'ai </w> échoué. </w>
I </w> forgot. </w>	J'ai </w> oublié. </w>
I </w> get </w> it. </w>	J'ai </w> compris. </w>
I </w> got </w> it. </w>	J'ai </w> compris. </w>
I </w> got </w> it. </w>	J'ai </w> capté. </w>
I </w> phone d. </w>	Je </w> téléphon ai. </w>
I </w> phone d. </w>	J'ai </w> téléphoné. </w>
I </w> refuse. </w>	Je </w> refuse. </w>
I </w> refuse. </w>	Je </w> le </w> refuse. </w>
I </w> saw </w> it. </w>	Je </w> l'ai </w> vu. </w>
I </w> saw </w> it. </w>	Je </w> l’ai </w> vu. </w>
I </w> stay ed. </w>	Je </w> suis </w> rest é. </w>
I </w> stay ed. </w>	Je </w> suis </w> rest ée. </w>
I </w> use </w> it. </w>	Je </w> l' util ise. </w>
I </w> use </w> it. </w>	J'en </w> fais </w> usage. </w>
I </w> use </w> it. </w>	Je </w> m'en </w> ser s. </w>
I'll </w> pay. </w>	Je </w> paierai. </w>
I'll </w> try. </w>	Je </w> vais </w> essayer. </w>
I'll </w> try. </w>	J'essai erai. </w>
I'm </w> back. </w>	Je </w> suis </w> revenu. </w>
I'm </w> back. </w>	Me </w> re voilà. </w>
I'm </w> bald. </w>	Je </w> suis </w> chauve. </w>
I'm </w> busy. </w>	Je </w> suis </w> occupé. </w>
I'm </w> busy. </w>	Je </w> suis </w> occupée. </w>
I'm </w> calm. </w>	Je </w> suis </w> calme. </w>
I'm </w> cold. </w>	J'ai </w> froid. </w>
I'm </w> deaf. </w>	Je </w> suis </w> sourd. </w>
I'm </w> deaf. </w>	Je </w> suis </w> sour de. </w>
I'm </w> done. </w>	J'en </w> ai </w> fini. </w>
I'm </w> fast. </w>	Je </w> suis </w> rapide. </w>
I'm </w> fine. </w>	Tout </w> va </w> bien. </w>
I'm </w> fine. </w>	Je </w> vais </w> bien. </w>
I'm </w> fine. </w>	Ça </w> va. </w>
I'm </w> free ! </w>	Je </w> suis </w> libre </w> ! </w>
I'm </w> free. </w>	Je </w> suis </w> libre. </w>
I'm </w> free. </w>	Je </w> suis </w> disponible. </w>
I'm </w> full. </w>	Je </w> suis </w> re pu </w> ! </w>
I'm </w> full. </w>	Je </w> suis </w> rassasi é </w> ! </w>
I'm </w> glad. </w>	Je </w> suis </w> content. </w>
I'm </w> home. </w>	Je </w> suis </w> chez </w> moi. </w>
I'm </w> late. </w>	Je </w> suis </w> en </w> retard. </w>
I'm </w> lazy. </w>	Je </w> suis </w> paresseux. </w>
I'm </w> lazy. </w>	Je </w> suis </w> fainéant. </w>
I'm </w> lazy. </w>	Je </w> suis </w> paresseuse. </w>
I'm </w> lazy. </w>	Je </w> suis </w> fainéante. </w>
I'm </w> okay. </w>	Je </w> vais </w> bien. </w>
I'm </w> okay. </w>	Je </w> me </w> porte </w> bien. </w>
I'm </w> rich. </w>	Je </w> suis </w> riche. </w>
I'm </w> safe. </w>	Je </w> suis </w> en </w> sécurité. </w>
I'm </w> sick. </w>	Je </w> suis </w> malade. </w>
I'm </w> sure. </w>	J'en </w> suis </w> certain. </w>
I'm </w> sure. </w>	Je </w> suis </w> certain. </w>
I'm </w> sure. </w>	J'en </w> suis </w> sûr. </w>
I'm </w> sure. </w>	J'en </w> suis </w> sûre. </w>
I'm </w> tall. </w>	Je </w> suis </w> grande. </w>
I'm </w> thin. </w>	Je </w> suis </w> mince. </w>
I'm </w> tidy. </w>	Je </w> suis </w> or donné. </w>
I'm </w> tidy. </w>	Je </w> suis </w> ordonné e. </w>
I'm </w> ugly. </w>	Je </w> suis </w> laid. </w>
I'm </w> ugly. </w>	Je </w> suis </w> laide. </w>
I'm </w> weak. </w>	Je </w> suis </w> faible. </w>
I'm </w> well. </w>	Je </w> vais </w> bien. </w>
I'm </w> well. </w>	Je </w> me </w> porte </w> bien. </w>
I've </w> won. </w>	J'ai </w> gagné. </w>
I've </w> won. </w>	Je </w> l'ai </w> emporté. </w>
It </w> helps. </w>	Ça </w> aide. </w>
It </w> hurts. </w>	Ça </w> fait </w> mal. </w>
It </w> works. </w>	Elle </w> marche. </w>
It </w> works. </w>	Ça </w> fonctionne. </w>
It's </w> Tom. </w>	C'est </w> Tom. </w>
It's </w> fun. </w>	C'est </w> marrant. </w>
It's </w> fun. </w>	C'est </w> rigolo . </w>
It's </w> his. </w>	C'est </w> le </w> sien. </w>
It's </w> his. </w>	C'est </w> la </w> sienne. </w>
It's </w> new. </w>	C'est </w> nouveau. </w>
It's </w> new. </w>	C'est </w> neuf. </w>
It's </w> odd. </w>	C'est </w> bizarre. </w>
It's </w> red. </w>	Il </w> est </w> rouge. </w>
It's </w> sad. </w>	C’est </w> triste. </w>
Keep </w> out! </w>	Dé f ense </w> d'entrer. </w>
Keep </w> out. </w>	N'entrez </w> pas. </w>
Kis s </w> Tom. </w>	Emb rasse </w> Tom. </w>
Leave </w> it. </w>	Laisse </w> tomber </w> ! </w>
Leave </w> it. </w>	Laissez </w> tomber </w> ! </w>
Leave </w> me. </w>	Laissez-moi </w> ! </w>
Leave </w> us. </w>	Laisse-nous </w> ! </w>
Leave </w> us. </w>	Laissez-nous </w> ! </w>
Let's </w> go! </w>	Allons-y </w> ! </w>
Let's </w> go. </w>	Allons-y </w> ! </w>
Look </w> out! </w>	Attention </w> ! </w>
Look </w> out! </w>	Regarde </w> donc </w> ! </w>
Mar ry </w> me. </w>	É pous e -moi </w> ! </w>
Mar ry </w> me. </w>	É pous ez-moi </w> ! </w>
May </w> I </w> go? </w>	Puis-je </w> partir </w> ? </w>
May </w> I </w> go? </w>	Puis-je </w> y </w> aller </w> ? </w>
May </w> I </w> go? </w>	Puis-je </w> m'y </w> rendre </w> ? </w>
Save </w> Tom. </w>	Sauve </w> Tom. </w>
Save </w> Tom. </w>	Sau vez </w> Tom. </w>
She </w> came. </w>	Elle </w> est </w> venue. </w>
She </w> died. </w>	Elle </w> est </w> morte. </w>
She </w> run s. </w>	Elle </w> court. </w>
Sit </w> down! </w>	Assieds-toi </w> ! </w>
Sit </w> down! </w>	Asseyez-vous </w> ! </w>
Sit </w> down. </w>	Assieds -toi. </w>
Sit </w> here. </w>	Assieds-toi </w> ici. </w>
Sit </w> here. </w>	Asseyez-vous </w> ici. </w>
Speak </w> up! </w>	Parle </w> plus </w> fort </w> ! </w>
Speak </w> up! </w>	Parlez </w> plus </w> fort </w> ! </w>
Stop </w> Tom. </w>	Arrête </w> Tom. </w>
Stop </w> Tom. </w>	Stop pez </w> Tom. </w>
Taste </w> it. </w>	Goûte -le. </w>
Taste </w> it. </w>	Goûte -la. </w>
Taste </w> it. </w>	Goûtez -le. </w>
Taste </w> it. </w>	Goûtez -la. </w>
Tell </w> Tom. </w>	Dis-le </w> à </w> Tom. </w>
Tell </w> Tom. </w>	In formez -en </w> Tom. </w>
Ter ri fic ! </w>	Gé ni al </w> ! </w>
Ter ri fic ! </w>	Ex cell ent </w> ! </w>
Ter ri fic ! </w>	For mid able </w> ! </w>
They </w> won. </w>	Ils </w> gagn èrent. </w>
They </w> won. </w>	Elles </w> gagn èrent. </w>
They </w> won. </w>	Ils </w> ont </w> gagné. </w>
They </w> won. </w>	Elles </w> ont </w> gagné. </w>
Tom </w> came. </w>	Tom </w> est </w> venu. </w>
Tom </w> died. </w>	Tom </w> est </w> mort. </w>
Tom </w> died. </w>	Tom </w> mu era. </w>
Tom </w> knew. </w>	Tom </w> savait. </w>
Tom </w> left. </w>	Tom </w> est </w> parti. </w>
Tom </w> left. </w>	Tom </w> partit. </w>
Tom </w> lied. </w>	Tom </w> a </w> menti. </w>
Tom </w> lies. </w>	Tom </w> ment. </w>
Tom </w> lost. </w>	Tom </w> a </w> perdu. </w>
Tom </w> paid. </w>	Tom </w> a </w> payé. </w>
Too </w> late. </w>	Trop </w> tard. </w>
Trust </w> me. </w>	Faites-moi </w> confiance. </w>
Trust </w> me. </w>	Fais-moi </w> confiance. </w>
Try </w> hard. </w>	Fais </w> un </w> effort. </w>
Try </w> some. </w>	Essai es -en </w> ! </w>
Try </w> some. </w>	Essayez -en </w> ! </w>
Try </w> this. </w>	Essaie </w> ceci </w> ! </w>
Try </w> this. </w>	Essayez </w> ceci </w> ! </w>
Use </w> this. </w>	Utilise </w> ceci. </w>
Use </w> this. </w>	Utilisez </w> ceci. </w>
Use </w> this. </w>	Empl oie </w> ceci </w> ! </w>
Use </w> this. </w>	Employ ez </w> ceci </w> ! </w>
War n </w> Tom. </w>	A vertis </w> Tom. </w>
War n </w> Tom. </w>	Préviens </w> Tom. </w>
Watch </w> me. </w>	Regarde-moi </w> ! </w>
Watch </w> me. </w>	Regardez-moi </w> ! </w>
Watch </w> us. </w>	Regardez -nous </w> ! </w>
Watch </w> us. </w>	Regarde -nous </w> ! </w>
We </w> agree. </w>	Nous </w> sommes </w> d'accord. </w>
We'll </w> go. </w>	Nous </w> irons. </w>
What </w> for? </w>	Pour </w> quoi </w> faire </w> ? </w>
What </w> for? </w>	À </w> quoi </w> bon </w> ? </w>
What </w> fun ! </w>	Qu'est-ce </w> qu'on </w> s'est </w> mar rés </w> ! </w>
What </w> fun ! </w>	Qu'est-ce </w> qu'on </w> s'est </w> mar rées </w> ! </w>
Who </w> came? </w>	Qui </w> est </w> venu </w> ? </w>
Who </w> died? </w>	Qui </w> est </w> mort </w> ? </w>
Who </w> fell ? </w>	Qui </w> est </w> tombé </w> ? </w>
Who's </w> he? </w>	Qui </w> est-il </w> ? </w>
Write </w> me. </w>	Écris-moi </w> ! </w>
Write </w> me. </w>	Écrivez -moi </w> ! </w>
You </w> lost. </w>	Tu </w> as </w> perdu. </w>
You </w> lost. </w>	Vous </w> avez </w> perdu. </w>
After </w> you. </w>	Après </w> vous. </w>
Aim . </w> Fire ! </w>	En </w> joue </w> ! </w> F eu </w> ! </w>
Am </w> I </w> late? </w>	Suis-je </w> en </w> retard </w> ? </w>
Answer </w> me. </w>	Répon dez-moi . </w>
Be </w> seated. </w>	Assieds-toi </w> ! </w>
Be </w> seated. </w>	Asseyez-vous </w> ! </w>
Birds </w> fly. </w>	Les </w> oiseaux </w> vol ent. </w>
B less </w> you. </w>	À </w> tes </w> souhaits </w> ! </w>
Call </w> home ! </w>	Appelle </w> à </w> la </w> maison </w> ! </w>
Calm </w> down! </w>	Calmez-vous </w> ! </w>
Calm </w> down. </w>	Cal me -toi. </w>
Can </w> we </w> go? </w>	Pouvons-nous </w> partir </w> ? </w>
Can </w> we </w> go? </w>	Pouvons-nous </w> nous </w> en </w> aller </w> ? </w>
Can </w> we </w> go? </w>	Pouvons-nous </w> y </w> aller </w> ? </w>
Catch </w> Tom. </w>	Attrape </w> Tom. </w>
Catch </w> Tom. </w>	Attrapez </w> Tom. </w>
Catch </w> him. </w>	R attrape -le. </w>
Come </w> back. </w>	Reviens </w> ! </w>
Come </w> back. </w>	Revenez </w> ! </w>
Come </w> here. </w>	Viens </w> ici. </w>
Come </w> here. </w>	Venez </w> là. </w>
Come </w> over ! </w>	Viens </w> ! </w>
Come </w> over ! </w>	Venez </w> ! </w>
Come </w> over. </w>	Venez </w> ici </w> ! </w>
Come </w> over. </w>	Viens </w> chez </w> nous </w> ! </w>
Come </w> over. </w>	Venez </w> chez </w> nous </w> ! </w>
Come </w> over. </w>	Viens </w> chez </w> moi </w> ! </w>
Come </w> over. </w>	Venez </w> chez </w> moi </w> ! </w>
Come </w> soon. </w>	Viens </w> bientôt </w> ! </w>
Come </w> soon. </w>	Venez </w> bientôt </w> ! </w>
Cool </w> down. </w>	Calmez-vous </w> ! </w>
Did </w> I </w> win? </w>	Ai-je </w> gagné </w> ? </w>
Did </w> I </w> win? </w>	L'ai-je </w> emporté </w> ? </w>
Did </w> I </w> win? </w>	Est-ce </w> moi </w> qui </w> ai </w> gagné </w> ? </w>
Do </w> it </w> now. </w>	Faites-le </w> maintenant. </w>
Dogs </w> bark. </w>	Des </w> chiens </w> aboient. </w>
Dogs </w> bark. </w>	Les </w> chiens </w> aboient. </w>
Don't </w> ask. </w>	Ne </w> demande </w> pas </w> ! </w>
Don't </w> cry. </w>	Ne </w> pleure </w> pas </w> ! </w>
Don't </w> die. </w>	Ne </w> meurs </w> pas </w> ! </w>
Don't </w> die. </w>	Ne </w> mou rez </w> pas </w> ! </w>
